State,Pop. In Millions for 2012,RoLScore,elec_pros ,pol_plur,free_expr,assoc_org,per_auto,2012GDP,hprop,hfisc,hbiz,hlab,htra,hinv,F1LGP,F2AOC,F3OS,F4FR,F5OG,F6RE,F7CJ,F8CJ
Albania ,3.2,42.6,8,10,13,8,9,12648095824,30,92.6,81,49,79.8,65,0.457571126,0.311832934,0.729112045,0.631233208,0.444956238,0.426012262,0.507478465,0.410051581
Argentina,41.1,51.94,11,15,14,11,13,4.76E+11,15,64.3,60.1,47.4,67.6,40,0.459924508,0.474729642,0.595718535,0.630741351,0.479806829,0.431074297,0.536658439,0.434365174
Australia ,22.7,73.28,12,15,16,12,15,1.53E+12,90,66.4,95.5,83.5,86.2,80,0.883456932,0.896728734,0.858811339,0.842860707,0.840763294,0.830544848,0.723283097,0.723642927
Austria,8.4,73.15,12,15,16,12,15,3.95E+11,90,51.1,73.6,80.4,86.8,85,0.822501138,0.773410976,0.885256758,0.824338539,0.802236331,0.84483884,0.743924,0.747908092
Bangladesh ,154.7,31.57,9,11,9,8,9,1.16E+11,20,72.7,68,51.9,54,55,0.402931421,0.290016266,0.623857432,0.433687556,0.352168222,0.355572079,0.322476743,0.381836004
Belgium,11.1,73.57,12,16,16,12,15,4.83E+11,80,45,91.6,69.8,86.8,80,0.780868105,0.782281347,0.836606207,0.813122123,0.667549147,0.697603662,0.678150291,0.715803453
Bolivia ,10.5,33.51,11,11,14,9,9,27035110130,10,88.8,55.8,30.8,74.3,10,0.376067207,0.244913136,0.674882271,0.488587158,0.411145889,0.374426812,0.378945263,0.282125213
Bosnia and Herzegovina,3.8,55.77,8,10,10,7,10,17465958606,20,83.2,54.3,61.2,86.4,70,0.545037693,0.466186229,0.762541856,0.671935674,0.490764961,0.530040931,0.499497023,0.61715393
Botswana,2,60.56,10,11,13,10,11,14504339386,70,79.5,69,69.8,79.7,70,0.732833603,0.753442645,0.764339486,0.592774769,0.672314554,0.712630622,0.654271719,0.717397397
Brazil,198.7,51.83,11,14,15,10,12,2.25E+12,50,70.3,53,57.2,69.7,50,0.622302824,0.522721982,0.63558665,0.694778014,0.54354909,0.555735289,0.554628051,0.485032514
Bulgaria ,7.3,47.26,11,15,14,11,11,50972109857,30,94,73.6,74.8,86.8,55,0.514630176,0.457266311,0.738669933,0.680502482,0.530962869,0.499992105,0.566129063,0.387255443
Burkina Faso,16.5,44.12,5,7,13,8,8,10441012681,30,81.4,61.2,56.4,72.5,55,0.433183734,0.496393201,0.702744697,0.585323824,0.410082336,0.564932581,0.588990626,0.44652524
Cambodia,14.9,28.69,3,3,9,4,6,14038383450,30,90.9,39.4,54.2,70.2,60,0.339417937,0.30953727,0.702824526,0.432499248,0.365308115,0.327121642,0.374377095,0.396515319
Cameroon,21.7,29.65,2,3,7,3,4,25321590402,30,69.3,46.8,55.5,54.9,35,0.308439373,0.201239416,0.616246075,0.420202626,0.267570201,0.283475093,0.345949801,0.317064233
Canada,34.8,70.03,12,16,16,12,16,1.82E+12,90,79.8,91.7,82.3,88.2,75,0.782779859,0.806254533,0.880801435,0.777977427,0.839572955,0.785373602,0.723139555,0.748386319
Chile,17.5,65.99,12,15,16,12,15,2.70E+11,90,77.6,70.5,74.2,82,85,0.736624646,0.738920874,0.70379442,0.72931005,0.68157249,0.655470322,0.660108284,0.60245591
China,1350.7,39.33,0,1,3,3,6,8.23E+12,20,70.2,48,62.6,72,25,0.363999329,0.518599869,0.783761746,0.354427807,0.421383449,0.406914808,0.43065421,0.543350534
Colombia ,47.7,47.03,10,10,12,5,10,3.70E+11,50,76.1,90.2,79.3,72.2,70,0.545997213,0.43734033,0.427480099,0.547434685,0.513388769,0.518300034,0.534527835,0.431520164
Cote d'Ivoire,19.8,36.55,5,4,4,5,4,24680372724,25,77.9,43.3,54.6,70.3,40,0.426492355,0.394380883,0.576144487,0.499756172,0.374663839,0.48360382,0.509227965,0.372024764
Croatia ,4.3,57.44,12,15,14,12,13,59228247411,40,75.4,63,42.4,87.5,75,0.611195736,0.54674589,0.767877296,0.672309255,0.528547354,0.483971259,0.512039306,0.527299572
Czech Republic,10.5,69.03,12,15,16,12,15,1.96E+11,70,82,65.8,85.5,86.8,70,0.710949317,0.617888288,0.809934325,0.78523809,0.490737653,0.592062001,0.647194732,0.696109027
Denmark,5.6,80.48,12,16,16,12,15,3.15E+11,90,39.8,98.4,91.1,86.8,85,0.927516176,0.953383554,0.913262164,0.908594893,0.824302857,0.845800585,0.78600795,0.871984804
Dominican Republic,10.3,49.17,10,12,15,10,11,59047202158,30,83.7,53.7,55.6,77.8,65,0.530420329,0.357875005,0.600949894,0.671559999,0.522453613,0.44716607,0.5113724,0.471472125
Ecuador,15.5,39.11,8,13,13,7,10,84039856000,20,80.1,51.5,48,68.1,20,0.406582808,0.465455209,0.563656518,0.561335091,0.378168622,0.46235007,0.424497277,0.436403093
Egypt,80.7,44.13,2,7,8,5,7,2.63E+11,35,85.6,63.3,43.3,73.8,50,0.575560028,0.513465766,0.668206529,0.432226027,0.477503791,0.417603829,0.465276397,0.453414801
El Salvador ,6.3,34.75,12,14,15,8,10,23864400000,40,85.7,61.8,62,79,70,0.496471878,0.451101312,0.580300297,0.579677862,0.374651396,0.517924368,0.492083377,0.24922652
Estonia,1.3,72.98,12,15,16,12,14,22390242609,85,79.7,78.2,56,86.8,90,0.794741134,0.77344944,0.823181186,0.787058498,0.712609953,0.727830472,0.707211403,0.748176485
Ethiopia,91.7,33.43,1,2,4,0,5,41605361646,30,74.2,52.4,46.9,64,25,0.360046887,0.437812271,0.562642989,0.406643224,0.293611591,0.361716514,0.455031863,0.49222094
Finland,5.4,82.27,12,16,16,12,16,2.48E+11,90,66.9,94.8,45.3,86.8,90,0.891093516,0.93140906,0.916681901,0.900493983,0.838423642,0.82118345,0.788443867,0.867398461
France,65.7,71.23,12,15,15,12,15,2.61E+12,80,53,84,50.5,81.8,65,0.797335922,0.802005563,0.840990678,0.785764826,0.75137194,0.762188216,0.683579065,0.687802579
Georgia,4.5,61.44,6,9,12,7,10,15747288816,45,88.2,90.6,91.1,89.2,75,0.483662706,0.768703753,0.839321648,0.605828778,0.46525804,0.632095686,0.614010696,0.657259086
Germany,80.4,76.93,12,15,15,12,15,3.43E+12,90,61.8,92.1,43.8,86.8,85,0.820533676,0.820262253,0.862647538,0.804073198,0.728598887,0.731518082,0.799979985,0.760791688
Ghana,25.4,51.2,12,15,14,11,10,40710781539,50,86,61.5,61.6,67.8,70,0.724210584,0.447298506,0.679746404,0.718521024,0.553457871,0.521615969,0.605085902,0.449112236
Greece,11.1,58.21,12,15,14,12,13,2.49E+11,40,66.2,77.1,42.1,81.8,65,0.641480272,0.563448508,0.732155498,0.718646693,0.508063641,0.540338382,0.614117924,0.502898524
Guatemala,15.1,39.67,9,10,12,8,8,50233749191,30,79.6,50.8,48.7,85.2,60,0.524400678,0.292489021,0.586565131,0.591896475,0.460282028,0.433638662,0.40830938,0.374000578
Hong Kong,7.2,71.74,3,7,14,9,13,2.63E+11,90,92.9,98.9,86.2,90,90,0.72716412,0.892061364,0.926819242,0.705486232,0.815477253,0.750656523,0.705541872,0.760964273
Hungary,9.9,58.06,12,15,15,12,14,1.25E+11,65,79.7,79.1,64.4,86.8,75,0.628883447,0.722214123,0.829983747,0.716361736,0.518317663,0.596187935,0.550820676,0.638948587
India ,1236.7,40.72,11,14,13,11,10,1.84E+12,50,78.3,37.3,73.6,63.6,35,0.609141453,0.319204745,0.393488544,0.55556452,0.478090672,0.408416476,0.446134875,0.439657077
Indonesia ,246.9,44.41,11,13,12,9,9,8.78E+11,30,83.4,50.2,50.8,75,35,0.643792451,0.304978628,0.716044075,0.562894488,0.526330457,0.501314456,0.494877168,0.446544988
Italy,59.5,65.06,11,15,15,12,14,2.01E+12,50,55.5,76.9,52,86.8,80,0.671114325,0.624168586,0.764522339,0.723436531,0.487326911,0.556494614,0.558801614,0.672942399
Jamaica,2.7,46.95,12,13,15,9,10,14755051129,40,77.5,84.3,69.3,75,85,0.59953591,0.510368553,0.599655651,0.585380905,0.411529387,0.546141748,0.507203624,0.41809108
Japan,127.6,72.04,12,15,13,10,13,5.96E+12,80,69.2,81.3,80.3,81.8,60,0.801219893,0.84448523,0.887839747,0.781134678,0.818671028,0.865941719,0.770499155,0.677867705
Kazakhstan,16.8,37.81,2,3,6,3,8,2.04E+11,35,93.2,71.8,88.4,78.2,30,0.346497702,0.379273276,0.739624573,0.498163257,0.358971879,0.437328972,0.485737198,0.456711599
Kenya ,43.2,35.76,6,10,14,8,7,40697163224,30,77.5,58,57.1,66.7,50,0.446314606,0.267709003,0.619721495,0.535278166,0.437394268,0.392646059,0.473680294,0.39798686
Kyrgyzstan,5.6,36.22,6,7,9,5,7,6474843799,20,94.8,73.2,88.6,75.4,50,0.435369851,0.262808519,0.736868262,0.512761361,0.440540512,0.43306878,0.458112918,0.351086746
Lebanon,4.4,52.07,5,9,12,7,9,42945273632,20,90.8,50.3,57.2,80.4,60,0.567730149,0.423353801,0.681043946,0.645984981,0.46827598,0.383869947,0.454351286,0.486493754
Liberia,4.2,34.1,9,11,11,8,8,1733823553,30,76.6,56.5,47.2,61.4,20,0.531314962,0.356938035,0.560391474,0.521723289,0.388342363,0.226782203,0.327333992,0.349120744
Macedonia,2.1,54.11,8,11,11,8,11,9612518136,35,91.4,80.3,78.4,84.6,60,0.518601191,0.547461985,0.750754429,0.637506748,0.623101477,0.561022169,0.532310341,0.534023336
Madagascar,22.3,46.96,1,5,10,7,9,9975124872,40,90,63.5,47.4,74.6,55,0.452650387,0.389312937,0.760215106,0.575655849,0.498720398,0.460331281,0.534974495,0.494909164
Malawi,15.9,41.33,7,11,10,6,7,4263794984,40,78.4,41.1,58.8,71.8,50,0.485263358,0.437999548,0.689405441,0.474732043,0.427884101,0.449863007,0.594348949,0.451202654
Malaysia,29.2,50.72,6,8,9,5,9,3.05E+11,55,85.1,79.9,72.3,77,45,0.56756804,0.687002958,0.855247716,0.499743127,0.483612134,0.523451598,0.572368488,0.611482402
Mexico,120.8,37.47,10,12,13,8,10,1.18E+12,50,81.1,81.4,59.7,80.6,70,0.551335905,0.367531677,0.496194972,0.563905788,0.532213027,0.487010893,0.401327918,0.350541223
Moldova,3.6,39.21,11,12,12,8,9,7252769934,40,87.2,69.7,40.9,80,35,0.434320225,0.329108217,0.766510314,0.539687993,0.432168766,0.389230467,0.416397345,0.403982982
Mongolia,2.8,46.01,10,15,15,11,12,10271393281,30,82.5,70.4,79.2,79.8,50,0.501035147,0.404714604,0.745614923,0.620257322,0.347367161,0.475211582,0.526756333,0.543686236
Morocco ,32.5,38.6,4,7,8,6,8,95981572517,40,71.4,76.4,30.1,70.8,70,0.568416242,0.326189284,0.721242322,0.475396743,0.51030937,0.473650153,0.539003505,0.354185989
Nepal,27.5,43.46,6,11,9,6,7,18962962963,30,85.8,57.2,44.3,60.8,10,0.507124001,0.398113316,0.686023271,0.58902278,0.380735767,0.440416204,0.429630175,0.538776497
Netherlands ,16.8,80.57,12,16,16,12,16,7.71E+11,90,52.1,83,58.6,86.8,90,0.857594833,0.930789317,0.858892531,0.836638861,0.903215139,0.827274523,0.803492321,0.800579833
New Zealand,4.4,76.33,12,15,16,12,15,1.67E+11,95,71.5,99.9,89.5,86.8,80,0.867049476,0.921883016,0.871561985,0.860749065,0.842247413,0.820927115,0.759961072,0.793797399
Nicaragua,6,32.62,6,7,12,6,9,10507356838,15,78.7,51.2,62.2,85.4,60,0.309251284,0.395878971,0.637269799,0.536898171,0.476912667,0.446621684,0.423209533,0.423020391
Nigeria,168.8,30.17,6,9,9,8,7,2.63E+11,30,82.6,55.7,67.2,63.9,40,0.450842846,0.245499089,0.473520275,0.448862124,0.35104075,0.415050265,0.528519878,0.283221376
Norway,5,83.61,12,16,16,12,16,5.00E+11,90,51,92.6,44.7,89.3,70,0.898101053,0.941452735,0.874520068,0.904636983,0.844652279,0.829697844,0.816227765,0.84578777
Pakistan,179.2,33.68,6,9,6,7,6,2.25E+11,30,80.5,70.7,47.9,66,35,0.460622662,0.275576419,0.29479473,0.397823593,0.347473609,0.362238084,0.394485582,0.387801706
Panama,3.8,45.41,12,15,15,11,12,36252500000,30,86.2,72.5,40.1,74.8,65,0.452742456,0.407611754,0.683620232,0.627091007,0.602410313,0.517566834,0.505113062,0.383771876
Peru,30,46.72,10,13,15,8,10,2.04E+11,40,79.9,72.3,67.1,85,70,0.638167076,0.365817141,0.620761361,0.700121033,0.429732448,0.480112997,0.431377138,0.451629482
Philippines,96.7,39.96,9,10,14,8,10,2.50E+11,30,79.3,53.1,51,75.5,50,0.563936205,0.413908108,0.602501175,0.569258587,0.455087217,0.508960928,0.427024716,0.419282018
Poland,38.5,72.95,12,16,16,12,14,4.90E+11,60,76,64,62.9,86.8,65,0.78407178,0.718014638,0.808899772,0.846860648,0.593810777,0.611136992,0.629337443,0.732839709
Portugal,10.5,62.96,12,16,16,12,15,2.12E+11,70,61.6,82.8,31,86.8,70,0.713249413,0.678911178,0.7436114,0.750242923,0.61550605,0.571973087,0.615241284,0.624616765
Romania,20.1,60.79,12,14,14,11,12,1.93E+11,40,87.9,70.4,63.5,86.8,80,0.5800372,0.500142747,0.802481578,0.730354393,0.508617494,0.537906918,0.586043517,0.598067883
Russia,143.5,35.53,1,3,6,5,7,2.01E+12,25,86.9,69.2,52.6,77.4,25,0.312975357,0.390709174,0.491851306,0.466982706,0.40835924,0.445298976,0.495897458,0.395172427
Senegal,13.7,46.01,9,12,14,10,9,14045759802,40,65.2,56.7,41.3,72.2,55,0.572890664,0.488354249,0.652563568,0.616640004,0.405668995,0.580204913,0.577500692,0.464556701
